Topology,Protocol,Mean_ms,Median_ms,Min_ms,Max_ms,StdDev_ms,P95_ms,P99_ms,CI_Lower,CI_Upper
topo01,Classic NTOR,1.38,1.38,1.37,1.39,0.01,1.39,1.39,1.37,1.38
topo01,PQ-NTOR,0.55,0.55,0.54,0.57,0.01,0.57,0.57,0.54,0.55
topo02,Classic NTOR,1.38,1.38,1.37,1.38,0.00,1.38,1.38,1.37,1.38
topo02,PQ-NTOR,0.55,0.55,0.54,0.57,0.01,0.57,0.57,0.54,0.55
topo03,Classic NTOR,1.52,1.57,1.40,1.59,0.06,1.59,1.59,1.49,1.55
topo03,PQ-NTOR,0.66,0.67,0.58,0.73,0.03,0.73,0.73,0.65,0.68
topo04,Classic NTOR,1.38,1.37,1.37,1.38,0.00,1.38,1.38,1.37,1.38
topo04,PQ-NTOR,0.54,0.54,0.54,0.55,0.00,0.55,0.55,0.54,0.55
topo05,Classic NTOR,1.38,1.37,1.37,1.41,0.01,1.41,1.41,1.37,1.38
topo05,PQ-NTOR,0.55,0.54,0.54,0.56,0.00,0.56,0.56,0.54,0.55
topo06,Classic NTOR,1.38,1.37,1.37,1.38,0.00,1.38,1.38,1.37,1.38
topo06,PQ-NTOR,0.55,0.54,0.54,0.56,0.00,0.56,0.56,0.54,0.55
topo07,Classic NTOR,1.51,1.49,1.40,1.59,0.06,1.59,1.59,1.49,1.54
topo07,PQ-NTOR,0.66,0.66,0.58,0.69,0.03,0.69,0.69,0.64,0.67
topo08,Classic NTOR,1.52,1.51,1.41,1.59,0.05,1.59,1.59,1.50,1.54
topo08,PQ-NTOR,0.66,0.66,0.58,0.67,0.02,0.67,0.67,0.65,0.67
topo09,Classic NTOR,1.52,1.50,1.40,1.59,0.05,1.59,1.59,1.50,1.54
topo09,PQ-NTOR,0.65,0.66,0.58,0.67,0.03,0.67,0.67,0.63,0.66
topo10,Classic NTOR,1.52,1.49,1.40,1.68,0.07,1.68,1.68,1.50,1.55
topo10,PQ-NTOR,0.65,0.66,0.58,0.69,0.03,0.69,0.69,0.64,0.66
topo11,Classic NTOR,1.54,1.58,1.40,1.66,0.06,1.66,1.66,1.52,1.57
topo11,PQ-NTOR,0.65,0.66,0.58,0.68,0.02,0.68,0.68,0.64,0.67
topo12,Classic NTOR,1.54,1.57,1.40,1.82,0.09,1.82,1.82,1.50,1.58
topo12,PQ-NTOR,0.66,0.67,0.58,0.68,0.02,0.68,0.68,0.65,0.67
