Topology,Rate(Mbps),Delay(ms),Loss(%),Mean(µs),Median(µs),StdDev(µs),Min(µs),Max(µs),P95(µs),P99(µs)
topo01,31.81,5.42,2.0,30.70,30.70,0.00,30.70,30.70,30.70,30.70
topo02,8.77,5.44,2.0,31.32,31.32,0.00,31.32,31.32,31.32,31.32
topo03,20.53,2.73,0.1,31.74,31.74,0.00,31.74,31.74,31.74,31.74
topo04,29.21,5.42,2.0,31.84,31.84,0.00,31.84,31.84,31.84,31.84
topo05,23.03,5.43,2.0,31.77,31.77,0.00,31.77,31.77,31.77,31.77
topo06,29.21,5.42,0.1,31.29,31.29,0.00,31.29,31.29,31.29,31.29
topo07,14.08,5.44,2.0,30.56,30.56,0.00,30.56,30.56,30.56,30.56
topo08,8.77,5.46,2.0,31.25,31.25,0.00,31.25,31.25,31.25,31.25
topo09,8.77,2.72,0.5,31.62,31.62,0.00,31.62,31.62,31.62,31.62
topo10,8.77,5.44,2.0,30.80,30.80,0.00,30.80,30.80,30.80,30.80
topo11,3.60,5.44,2.0,31.08,31.08,0.00,31.08,31.08,31.08,31.08
topo12,8.77,5.44,2.0,31.25,31.25,0.00,31.25,31.25,31.25,31.25
