# Config,Run,Time(s),Status,CircuitTime,HandshakeCount
baseline,1,61.826724183,SUCCESS,,0
0
baseline,2,62.341035925,SUCCESS,,0
0
baseline,3,59.525567313,SUCCESS,,0
0
baseline,4,59.503929565,SUCCESS,,0
0
baseline,5,62.440452474,SUCCESS,,0
0
baseline,6,62.374879105,SUCCESS,,0
0
baseline,7,62.157635628,SUCCESS,,0
0
baseline,8,61.364648091,SUCCESS,,0
0
baseline,9,59.541371135,SUCCESS,,0
0
baseline,10,59.500741056,SUCCESS,,0
0
leo,1,61.171464867,SUCCESS,,0
0
leo,2,61.818379884,SUCCESS,,0
0
leo,3,63.125112125,SUCCESS,,0
0
leo,4,62.272773352,SUCCESS,,0
0
leo,5,60.826948058,SUCCESS,,0
0
leo,6,60.137574580,SUCCESS,,0
0
leo,7,62.419720014,SUCCESS,,0
0
leo,8,65.057976560,SUCCESS,,0
0
leo,9,64.210758631,SUCCESS,,0
0
leo,10,61.729889260,SUCCESS,,0
0
meo,1,66.983943809,SUCCESS,,0
0
meo,2,66.945148300,SUCCESS,,0
0
meo,3,67.199672031,SUCCESS,,0
0
meo,4,66.704252193,SUCCESS,,0
0
meo,5,67.653928525,SUCCESS,,0
0
meo,6,65.880025166,SUCCESS,,0
0
meo,7,64.817591739,SUCCESS,,0
0
meo,8,68.369885595,SUCCESS,,0
0
meo,9,66.102260843,SUCCESS,,0
0
meo,10,66.136626990,SUCCESS,,0
0
geo,1,70.930403400,SUCCESS,,0
0
geo,2,87.957665122,SUCCESS,,0
0
geo,3,76.116122098,SUCCESS,,0
0
geo,4,77.685139792,SUCCESS,,0
0
geo,5,74.754539274,SUCCESS,,0
0
geo,6,73.398625563,SUCCESS,,0
0
geo,7,77.830682506,SUCCESS,,0
0
geo,8,75.790658358,SUCCESS,,0
0
geo,9,77.423626746,SUCCESS,,0
0
geo,10,72.269564227,SUCCESS,,0
0
