Topology_ID,Topology_Name,Link_Type,Access_Method,Rate_Mbps,Delay_ms,Loss_%,SINR_dB,Total_Tests,Successful,Success_Rate_%,Avg_Time_ms,Min_Time_ms,Max_Time_ms,Std_Dev_ms
1,Z1-SAT-OMA-Center,satellite,OMA,35.06,2.716666666666667,0.5,3.75,10,10,100.0,56638.7344121933,56165.59290885925,58682.175159454346,701.623926085506
2,Z1-SAT-OMA-Edge,satellite,OMA,18.7,2.7333333333333334,1.0,-0.4,10,10,100.0,56505.019092559814,56042.025327682495,58262.078285217285,601.8189752272447
3,Z1-SAT-NOMA-Strong,satellite,NOMA,15.5,2.716666666666667,1.0,-1.48,10,10,100.0,56561.975836753845,56236.15884780884,58576.20573043823,672.8561188544278
4,Z1-SAT-NOMA-Weak,satellite,NOMA,11.72,2.7333333333333334,1.0,-3.0,10,10,100.0,56578.10506820679,56213.82474899292,58673.83003234863,700.5672652701429
5,Z2-UAV-OMA-Near,uav,OMA,29.86,0.003333333333333333,0.01,44.94,10,10,100.0,56581.0090303421,56271.80814743042,58899.463415145874,773.6809294747065
6,Z2-UAV-OMA-Far,uav,OMA,23.99,0.008666666666666666,0.01,36.11,10,10,100.0,56585.10060310364,56181.95629119873,58814.35680389404,748.0437505796732
7,Z2-UAV-NOMA-Strong,uav,NOMA,26.38,0.003333333333333333,0.01,39.71,10,10,100.0,56564.99955654144,55525.972843170166,59384.12523269653,1027.7000863533087
8,Z2-UAV-NOMA-Weak,uav,NOMA,3.47,0.008666666666666666,0.5,3.68,10,10,100.0,56652.449226379395,55771.58164978027,58497.15161323547,847.3439861979731
9,Z3-D2D-OMA-Strong,d2d,OMA,32.98,9.999999999999999e-05,0.01,49.64,10,10,100.0,56534.77129936218,56170.30358314514,58602.555990219116,696.6703868492593
10,Z3-D2D-OMA-Weak,d2d,OMA,22.56,0.0003333333333333334,0.01,33.95,10,10,100.0,56537.19005584717,56191.081047058105,58516.15834236145,666.2977222726421
11,Z3-D2D-NOMA-Strong,d2d,NOMA,29.51,9.999999999999999e-05,0.01,44.41,10,10,100.0,56508.14836025238,56190.36531448364,58687.05129623413,727.6095261026745
12,Z3-D2D-NOMA-Weak,d2d,NOMA,3.47,0.0003333333333333334,0.5,3.67,10,10,100.0,56559.06665325165,56224.642515182495,58642.44484901428,696.596710331387
